제어번호,제목,저자,발행처,발행년도,
1,나미야 잡화점의 기적 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2012,
2,소년이 온다 :한강 장편소설,한강 지음,창비,2014,
3,여행의 이유 :김영하 산문,김영하 지음,문학동네,2019,
4,바깥은 여름 :김애란 소설,김애란 [지음],문학동네,2017,
5,미드나잇 라이브러리,매트 헤이그 지음,인플루엔셜,2021,
6,"총, 균, 쇠 :무기, 병균, 금속은 인류의 운명을 어떻게 바꿨는가",재레드 다이아몬드 지음,문학사상,2013,
7,지구 끝의 온실 :김초엽 장편소설,김초엽 지음,Giant Books(자이언트북스),2021,
8,친밀한 이방인 :정한아 장편소설,정한아 지음,문학동네,2017,
9,"햇빛은 찬란하고 인생은 귀하니까요 :밀라논나 이야기: ciao, amici",장명숙 지음,김영사,2021,
10,가재가 노래하는 곳 :델리아 오언스 장편소설,델리아 오언스 [지음],살림 : 살림출판사,2019,
11,홍학의 자리 :정해연 장편소설,정해연 지음,엘릭시르 : 문학동네,2021,
12,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음,북플라자(Book plaza),2017,
13,불편한 편의점 :김호연 장편소설,김호연 지음,나무옆의자,2021,
14,역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음,웅진지식하우스 : 웅진씽크빅,2022,
15,파친코 :이민진 장편소설 .2,이민진 지음,문학사상,2018,
16,"(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편",송희구 지음,서삼독,2021,
17,H마트에서 울다,미셸 자우너 지음,문학동네,2022,
18,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,양귀자 [지음],쓰다,2019,
19,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설,이미예 지음,팩토리나인,2020,
20,밝은 밤 :최은영 장편소설,최은영 지음,문학동네,2021,
21,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",유발 하라리 지음,김영사,2015,
22,완전한 행복 :정유정 장편소설,정유정 지음,은행나무,2021,
23,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집,김초엽 지음,허블,2019,
24,이기적 유전자,리처드 도킨스 지음,을유문화사,2018,
25,테라피스트 :B.A. 패리스 장편소설,B.A. 패리스 지음,모모,2021,
26,하얼빈 :김훈 장편소설,김훈 지음,문학동네,2022,
27,"(1일 1로그 100일 완성) IT 지식 :하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기",브라이언 W. 커니핸 지음,인사이트,2021,
28,구의 증명 :최진영 소설,최진영 지음,은행나무,2015,
29,나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기,너바나 지음,시공사: 알키,2015,
30,내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업,비욘 나티코 린데블라드 지음,다산초당 : 다산북스,2022,
31,"달러구트 꿈 백화점 :이미예 장편소설 .2 ,단골손님을 찾습니다",이미예 지음,팩토리나인,2021,
32,대도시의 사랑법 :박상영 연작소설,박상영 지음,창비,2019,
33,바깥,안익수 외 지음,마음산책,2012,
34,부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 지음,민음인,2018,
35,자본 .Ⅲ-1,카를 마르크스 지음,길,2010,
36,파친코 :이민진 장편소설 .1,이민진 지음,문학사상,2018,
37,프로젝트 헤일메리,앤디 위어 지음,RHK(알에이치코리아),2021,
38,당신은 결국 무엇이든 해내는 사람 :김상현 에세이,김상현 지음,필름: 필름(Feelm) 출판사,2022,
39,레슨 인 케미스트리 :보니 가머스 장편소설 .1,보니 가머스 지음,다산책방: 다산북스,2022,
40,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 지음,백도씨: 블랙피쉬,2018,
41,센 강의 이름 모를 여인 :기욤 뮈소 장편소설,기욤 뮈소 지음,밝은세상,2022,
42,소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간,에릭 와이너 지음,어크로스: 어크로스출판그룹,2021,
43,"시선으로부터, :정세랑 장편소설",정세랑 지음,문학동네,2020,
44,신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘,마크 맨슨 지음,갤리온: 웅진씽크빅,2017,
45,아몬드 :손원평 장편소설,손원평 [지음],창비,2017,
46,저주토끼 :정보라 소설집 =Cursed bunny,정보라 지음,아작,2017,
47,(김경필의) 오늘은 짠테크 내일은 플렉스 :제대로 혼쭐나며 배우는 재테크 기본기,김경필 지음,김영사,2022,
48,"(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편",송희구 지음,서삼독,2021,
49,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",앤절라 더크워스 지음,비즈니스북스,2019,
50,"나의 문화유산답사기 :내 고향 서울 이야기 .11 ,서울편 3 : 사대문 안동네",유홍준 지음,창비,2022,
51,내게 무해한 사람 :최은영 소설,최은영 지음,문학동네,2018,
52,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",손웅정 지음,수오서재,2021,
53,순례주택 :유은실 소설,유은실 지음,비룡소,2021,
54,"어서 오세요, 휴남동 서점입니다 :황보름 장편소설",황보름 지음,클레이하우스,2022,
55,엑시트 :당신의 인생을 바꿔 줄 부자의 문이 열린다! =Exit,송희창 지음,지혜로,2020,
56,우리는 모두 죽는다는 것을 기억하라 :삶의 다른 방식을 찾고 있는 당신에게,웨인 다이어 지음,Tornado(토네이도),2019,
57,작별인사 :김영하 장편소설,김영하 지음,복복서가,2022,
58,"창발의 시대 :경제혁명, 종교개혁, 르네상스, 그리고 세계를 뒤흔든 40년의 역사",패트릭 와이먼 지음,Connecting: 로크미디어,2022,
59,천 개의 파랑 :한국과학문학상 장편 대상 : 천선란 장편소설,천선란 지음,허블,2020,
60,천문학자는 별을 보지 않는다,심채경 지음,문학동네,2021,
61,"(24단계 실습으로 정복하는) 쿠버네티스 :헬름, 로키, 프로메테우스 등 현장에서 바로 활용할 수 있는 쿠버네티스 도구 활용법",이정훈 지음,위키북스,2022,
62,(나를 숨 쉬게 하는) 보통의 언어들,김이나 지음,위즈덤하우스,2020,
63,"(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리?권 사원 편",송희구 지음,서삼독,2021,
64,(이상한 과자 가게) 전천당 .14,히로시마 레이코 글,길벗스쿨,2022,
65,가진 돈은 몽땅 써라 :먹고 놀고 마시는 데 목숨 걸어라: 다시 살 수 없는 것들에 투자하라,호리에 다카후미 지음,쌤앤파커스,2021,
66,긴긴밤,루리 글?그림,문학동네,2021,
67,나는 왜 생각이 많을까? :머릿속의 스위치를 끄고 싶을 때 보는 뇌과학 이야기: 뇌과학이 선택한 45가지 단순 사고법,홋타 슈고 지음,서사원,2021,
68,"나의 문화유산답사기 :한양도성 밖 역사의 체취 .12 ,서울편 4 : 강북과 강남",유홍준 지음,창비,2022,
69,다정한 것이 살아남는다,브라이언 헤어,디플롯,2021,
70,달콩이네 떡집,김리리 글,비룡소,2021,
71,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,애나 렘키 지음,흐름출판,2022,
72,마음의 법칙 :사람의 마음을 사로잡는 51가지 심리학,폴커 키츠,포레스트북스 : 콘텐츠그룹 포레스트,2022,
73,망원동 브라더스 :김호연 장편소설,김호연 지음,나무옆의자,2013,
74,모순 :양귀자 소설,양귀자 지음,쓰다,2013,
75,목소리를 드릴게요 :정세랑 소설집,정세랑 지음,아작,2020,
76,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음,곰출판,2021,
77,미라클모닝 :당신의 하루를 바꾸는 기적 아침 6분이면 충분하다,할 엘로드 지음,한빛비즈,2016,
78,믿음에 대하여 :박상영 연작소설,박상영 지음,문학동네,2022,
79,방금 떠나온 세계 :김초엽 소설집,김초엽 지음,한겨레출판: 한겨레엔,2021,
80,백광 :렌조 미키히코 장편소설,렌조 미키히코 지음,모모: 바이포엠 스튜디오,2022,
81,베러티,콜린 후버 지음,미래지향,2022,
82,선량한 차별주의자,김지혜 지음,창비,2019,
83,세상의 마지막 기차역 =The last train station in the world,무라세 다케시 지음,모모: 바이포엠 스튜디오,2022,
84,수상한 중고상점 :오늘도 정상 영업 중: 미치오 슈스케 장편소설,미치오 슈스케 지음,놀: 다산북스,2022,
85,아버지의 해방일지 :정지아 장편소설,정지아 지음,창비,2022,
86,요즘 사는 맛 :먹고 사는 일에 누구보다 진심인 작가들의 일상 속 음식 이야기,김겨울,위즈덤하우스,2022,
87,우리는 어디서 살아야 하는가 :인문학자가 직접 고른 살기 좋고 사기 좋은 땅,김시덕 지음,포레스트북스: 콘텐츠그룹 포레스트,2022,
88,원씽 =(The) one thing,게리 켈러,비즈니스북스,2013,
89,유리탑의 살인 =The glass tower murder,치넨 미키토 지음,Readbie: 디앤씨미디어,2022,
90,이순신의 바다 :그 바다는 무엇을 삼켰나,황현필 지음,역바연,2021,
91,종의 기원 :정유정 장편소설 =The origin of species,정유정 지음,은행나무,2016,
92,지극히 사적인 네팔 :섞이지 않지만 밀어내지도 않는 사람들,수잔 샤키야,틈새책방,2022,
93,"지적 대화를 위한 넓고 얕은 지식 .1 ,현실-역사?경제?정치?사회?윤리",채사장 지음,웨일북(Whale Books),2020,
94,최소한의 선의,문유석 지음,문학동네,2021,
95,최재천의 공부 :어떻게 배우며 살 것인가,최재천,김영사,2022,
96,"칵테일, 러브, 좀비",조예은 지음,안전가옥,2020,
97,파친코 :이민진 장편소설 .2,이민진 지음,인플루엔셜,2022,
98,피프티 피플 :정세랑 장편소설,정세랑 지음,창비,2016,
99,허상의 어릿광대,히가시노 게이고 지음,재인,2021,
100,(50대 사건으로 보는) 돈의 역사 =The history of Money,홍춘욱 지음,Rok Media(로크미디어),2019,
101,(EBS 다큐프라임) 자본주의 :금융?소비?돈에 관한 33가지 비밀,EBS <자본주의> 제작팀,가나 : 가나문화콘텐츠,2013,
102,"(비전공자도 이해할 수 있는) AI 지식 :구글 검색부터 유튜브 추천, 파파고 번역과 내비게이션까지 일상을 움직이는 인공지능 이해하기",박상길 지음,반니,2022,
103,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",지나영 지음,21세기북스: 북이십일,2022,
104,(재무제표와 돈의 흐름이 보이는) 하마터면 회계를 모르고 일할 뻔했다!,김수헌,어바웃어북(About a book),2018,
105,"(호야의) 티키타카 경제왕 :어린이 금융 습관 기르기 프로젝트 .1 ,아빠, 나도 돈을 벌고 싶어요",달콤팩토리 글,아울북: 북이십일,2022,
106,1차원이 되고 싶어 :박상영 장편소설,박상영 지음,문학동네,2021,
107,7년의 밤 :정유정 장편소설,정유정 지음,은행나무,2011,
108,개인주의자 선언 :판사 문유석의 일상유감,문유석 [지음],문학동네,2015,
109,고래 :천명관 장편소설,천명관 지음,문학동네,2007,
110,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가,마이클 샌델 지음,와이즈베리: 미래엔,2020,
111,나의 투자는 새벽 4시에 시작된다 :3년만에 300억으로 돌아온 유목민의 투자 인사이트,유목민 지음,리더스북: 웅진씽크빅,2022,
112,나의 하루는 4시 30분에 시작된다 :하루를 두 배로 사는 단 하나의 습관,김유진 지음,Tornado(토네이도),2020,
113,날마다 만우절 :윤성희 소설,윤성희 지음,문학동네,2021,
114,단순한 열정 :아니 에르노 소설,아니 에르노 [저],문학동네,2011,
115,단순한 열정 :아니 에르노 소설,아니 에르노 지음,문학동네,2012,
116,더 시스템 :거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법 =The system,스콧 애덤스 지음,베리북,2020,
117,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가,마이클 샌델 [지음],와이즈베리: 미래엔,2012,
118,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,김승호 지음,스노우폭스북스,2020,
119,돈의 심리학 :당신은 왜 부자가 되지 못했는가,모건 하우절 지음,인플루엔셜,2021,
120,레버리지 :자본주의 속에 숨겨진 부의 비밀,롭 무어 지음,다산북스: 다산3.0,2017,
121,레슨 인 케미스트리 :보니 가머스 장편소설 .2,보니 가머스 지음,다산책방: 다산북스,2022,
122,마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche,장재형 지음,유노북스: 유노콘텐츠그룹,2022,
123,모래알만 한 진실이라도 :박완서 에세이,박완서 지음,세계사 : 세계사 컨텐츠 그룹,2020,
124,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게,정문정 지음,가나문화콘텐츠 : 가나출판사,2018,
125,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,기시미 이치로,인플루엔셜,2014,
126,미치게 친절한 철학 :개념과 맥락으로 독파하는 철학 이야기,안상헌 지음,행성B(행성비),2019,
127,변화하는 세계질서,레이 달리오 지음,한빛비즈,2022,
128,복수 법률사무소 :도진기 장편소설 .3,도진기 지음,황금가지,2022,
129,부의 시나리오 :불확실성을 기회로 만드는 4가지 투자전략,오건영 지음,Page2(페이지2북스),2021,
130,부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길,우석 지음,Openmind(오픈마인드),2022,
131,부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길,브라운스톤 지음,Openmind(오픈마인드),2019,
132,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,엠제이 드마코 지음,북새통: 토트출판사,2013,
133,생각에 관한 생각 :우리의 행동을 지배하는 생각의 반란,대니얼 카너먼 [지음],김영사,2018,
134,쇼코의 미소 :최은영 소설,최은영 [지음],문학동네,2016,
135,수상한 목욕탕,마쓰오 유미 지음,문예춘추사,2022,
136,숨 :테드 창 소설,테드 창 [지음],엘리 : 북하우스 퍼블리셔스,2019,
137,스토너 :존 윌리엄스 장편소설,존 윌리엄스 [지음],RHK(알에이치코리아),2015,
138,아몬드 :손원평 장편소설,손원평 지음,창비,2022,
139,아몬드 :손원평 장편소설,손원평 지음,창비,2017,
140,"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐 지음,바이포엠 스튜디오,2022,
141,오리지널스 :어떻게 순응하지 않는 사람들이 세상을 움직이는가,애덤 그랜트 지음,한국경제신문: 한경BP,2016,
142,월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,너나위 지음,RHK(알에이치코리아),2019,
143,월급쟁이 부자로 은퇴하라 :월급쟁이에서 100억 자산가로 변신한 '아는 선배'의 시스템 마련법,너나위 지음,RHK(알에이치코리아),2022,
144,유시민의 글쓰기 특강,유시민 지음,생각의길: 아름다운사람들,2015,
145,이어령의 마지막 수업,김지수 지음,열림원,2021,
146,"인플레이션에서 살아남기 :애프터 인플레, 누가 돈을 벌까?",오건영 지음,Page2(페이지2북스),2022,
147,작별하지 않는다 :한강 장편소설,한강 지음,문학동네,2021,
148,장수탕 선녀님,백희나 글?그림,책읽는곰,2012,
149,재수사 :장강명 장편소설 .1,장강명 지음,은행나무,2022,
150,"전세가를 알면 부동산 투자가 보인다 :부동산 가격 변화의 비밀 '심리, 전세, 정책'",이현철 지음,매경출판: 매일경제신문사,2018,
151,"정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술",대니얼 J. 레비틴 지음,와이즈베리,2015,
152,조인계획 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2022,
153,종이 동물원 :켄 리우 소설,켄 리우 [지음],황금가지,2018,
154,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이,백세희 지음,흔,2018,
155,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가",팀 마샬 지음,사이,2016,
156,"지적 대화를 위한 넓고 얕은 지식 ,철학, 과학, 예술, 종교, 신비 편",채사장 지음,한빛비즈,2015,
157,채식주의자 :한강 연작소설,한강 지음,창비,2007,
158,코스모스 :특별판,칼 세이건 지음,사이언스북스,2006,
159,클루지 :생각의 역사를 뒤집는 기막힌 발견,개리 마커스 지음,갤리온,2008,
160,타인의 해석 :당신이 모르는 사람을 만났을 때,말콤 글래드웰 지음,김영사,2020,
161,피로사회,한병철 [지음],문학과지성사,2012,
162,하루 한문 공부 :우리말 문해력을 높이는 한문교양 365,임자헌 지음,유유,2023,
163,(10년 동안) 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까? :5년 만에 자산을 100배 불린 투자고수 렘군의 단기속성 부동산 스쿨,김재수 지음,비즈니스북스,2018,
164,"(고양이 해결사) 깜냥 :홍민정 동화 .4 ,눈썰매장을 씽씽 달려라!",홍민정 지음,창비,2022,
165,(구슬쌤의) 예의 바른 영어 표현,구슬 지음,사람in,2021,
166,(나만을 위한) 레이 달리오의 원칙 :일과 삶의 성공을 위한 나만의 원칙 만들기,레이 달리오 지음,한빛비즈,2022,
167,(보도 섀퍼의) 돈,보도 섀퍼 지음,에포케,2022,
168,"(부를 창조하는 생각의 뿌리) 웰씽킹 :10억 빚더미를 연매출 6,000억과 맞바꾼 부의 원리 =Wealthinking",켈리 최 지음,다산북스,2021,
169,(쉽게 따라 만드는) 파이썬 주식 자동매매 시스템 =Python auto trading system,박준성 지음,길벗,2021,
170,"(운명을 바꾸는) 부동산 투자 수업 :내 집 마련부터 실전 아파트 투자까지, 결국 돈 버는 부동산 투자 트레이닝 ,기초편",정태익 지음,리더스북,2022,
171,(프렌즈) 제주 :season2 '22~'23 =Jeju island,허준성 지음,중앙books : 중앙일보에스,2021,
172,(현실은 엉망이지만 그럼에도 불구하고) 제 마음대로 살아보겠습니다,이원지 글?사진,상상출판,2019,
173,10배의 법칙 :성공과 실패를 가르는 유일한 차이,그랜트 카돈 지음,부키,2022,
174,12가지 인생의 법칙 :혼돈의 해독제,조던 B. 피터슨 지음,메이븐,2018,
175,"Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .3 ,일본(Japan)",김미영 글,아울북×Kakao Friends : 북이십일 아울북,2018,
176,"太白山脈 :趙廷來 大河小說 .3 ,제1부 恨의 모닥불",조정래 [저],해냄: 해냄출판사,2007,
177,가면산장 살인사건,히가시노 게이고 지음,재인,2014,
178,"개장 전, 아직 켜지지 않은 모니터 앞에서 :자신이 되고자 했던 시간의 기록",강민우 지음,이레미디어,2021,
179,거인의 포트폴리오 :월급을 쪼개서 경제적 자유를 만드는 23가지 전략,강환국 지음,Page2(페이지2북스),2021,
